attrib_1,attrib_2,attrib_3,attrib_4,attrib_5,attrib_6,outlier
0.0233,0.0191,0.0135,0.1233,0.0674,0.7368,0
0,0,0,0,0,0,0
0.0284,0.0191,0.0165,0.2392,0,0.7505,0
0.0448,0.3973,0.0075,0.0722,0,0.4842,0
0.0129,0.0096,0.0315,0.1684,0,0.5274,0
0.0234,0.0295,0.009,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0175,0.0088,0.0105,0,0,0,0
0.0208,0.0072,0.033,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0387,0.0892,0.036,0.2129,0,0.7621,0
0.0482,0.1465,0.012,0.1514,0.0457,0.6568,0
0.0132,0.0342,0.036,0.116,0,0.7168,0
0.0248,0.0438,0.0105,0.1858,0,0.7863,0
0.0181,0.004,0.0345,0.1535,0,0.6926,0
0.039,0.6234,0.0255,0.1483,0,0.4316,0
0.0268,0.0533,0.027,0.1932,0.0415,0.7621,0
0.0286,0.0287,0.012,0.2247,0,0.7495,0
0.0397,0.3185,0.033,0.19,0.0153,0.7105,0
0.064,0.2452,0.018,0.1919,0.0312,0.7916,0
0,0,0,0,0,0,0
0.0328,0.0764,0.0135,0.1703,0,0.6779,0
0,0,0,0,0,0,0
0.0295,0.0932,0.0435,0,0,0,0
0.0335,0.2763,0.0075,0.0915,0,0.5484,0
0.0878,0.8599,0.006,0.2761,0.0804,0.5495,0
0,0,0,0,0,0,0
0.0254,0.0374,0.018,0.1709,0,0.7011,0
0.0285,0.0287,0.012,0.1735,0.1294,0.7274,0
0.0093,0.0119,0.1004,0,0,0,0
0.0139,0.035,0.0915,0.1262,0,0.62,0
0.0477,0.6624,0.012,0.0977,0,0.54,0
0.0186,0.0088,0.042,0,0,0,0
0.0248,0.0032,0.0105,0,0,0,0
0,0,0,0,0,0,0
0.0277,0.0669,0.1034,0.1489,0.0387,0.56,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0497,0.172,0.039,0,0,0,0
0.0258,0.0159,0.0195,0.1667,0,0.6695,0
0.0408,0.1234,0.0075,0.1605,0,0.7147,0
0,0,0,0,0,0,0
0.0281,0.0701,0.0465,0.13,0.0367,0.6747,0
0.0276,0.082,0.03,0.1885,0,0.7316,0
0.0504,0.2094,0.006,0,0,0,0
0.0481,0.9881,0.021,0.1663,0.0396,0.4789,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0546,0.5653,0.012,0.2362,0,0.5021,0
0.0119,0.0143,0.036,0.1774,0,0.5642,0
0.05,0.1099,0.0195,0.2132,0.0775,0.6126,0
0.0184,0.0072,0.0225,0.1158,0.0598,0.6432,0
0.0183,0.0239,0.009,0.1558,0,0.5863,0
0,0,0,0,0,0,0
0.0295,0.0032,0.0075,0,0,0,0
0.0187,0.0032,0.03,0.0962,0,0.7074,0
0.0755,0.6003,0.015,0.2378,0,0.6021,0
0.0168,0.0199,0.0495,0.1274,0,0.7242,0
0,0,0,0,0,0,0
0.0368,0.0836,0.015,0,0,0,0
0.0218,0.047,0.072,0,0,0,0
0.0377,0.0032,0.012,0,0,0,0
0,0,0,0,0,0,0
0.0514,0.203,0.006,0.2146,0.0803,0.7442,0
0.0129,0.0191,0.069,0.2498,0,0.6126,0
0.0295,0.0271,0.0165,0.2528,0.0647,0.6653,0
0,0,0,0,0,0,0
0.0109,0.0032,0.0135,0,0,0,0
0.0308,0.0255,0.0135,0.1093,0.053,0.6674,0
0.0329,0.0374,0.0405,0.1097,0.0497,0.6326,0
0.0398,0.0693,0.021,0.1269,0.03,0.6147,0
0.0401,0.1616,0.045,0.18,0.0192,0.7695,0
0.0234,0.0239,0.0495,0.2089,0,0.6074,0
0.0084,0.0032,0.0465,0.093,0.0672,0.8189,0
0.0314,0.1178,0.0195,0,0,0,0
0,0,0,0,0,0,0
0.0221,0.1274,0.045,0.1324,0.0175,0.7895,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0132,0.0032,0.0165,0,0,0,0
0.0576,1,0.0195,0,0,0,0
0.0365,0.2779,0.021,0,0,0,0
0.0274,0.2102,0.0135,0.0848,0.0667,0.48,0
0,0,0,0,0,0,0
0.0361,0.0613,0.021,0.2202,0,0.7179,0
0,0,0,0,0,0,0
0.0389,0.1067,0.0435,0.1286,0,0.8011,0
0.0246,0.0581,0.0735,0.1006,0.0181,0.6716,0
0,0,0,0,0,0,0
0.0334,0.1178,0.0495,0.2163,0,0.7011,0
0.0211,0.0287,0.039,0.2431,0,0.6611,0
0.0213,0.0032,0.018,0,0,0,0
0.0229,0.0032,0.0405,0,0,0,0
0,0,0,0,0,0,0
0.0208,0.0303,0.0165,0.0976,0.0842,0.6705,0
0,0,0,0,0,0,0
0.0141,0.004,0.015,0,0,0,0
0,0,0,0,0,0,0
0.0219,0.2404,0.006,0,0,0,0
0.0295,0.2269,0.027,0.1165,0,0.5674,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0168,0.0032,0.0195,0,0,0,0
0.0125,0.0199,0.021,0,0,0,0
0.0239,0.0096,0.06,0,0,0,0
0.0354,0.1537,0.021,0.1068,0,0.7189,0
0.0141,0.0032,0.024,0.1742,0.0578,0.7053,0
0.0223,0.0215,0.0105,0.1623,0.0867,0.7326,0
0.0374,0.0414,0.0075,0.1589,0.2197,0.7189,0
0.0157,0.0064,0.0255,0.2064,0,0.6474,0
0.0443,0.4451,0.03,0,0,0,0
0.018,0.0056,0.0105,0,0,0,0
0.0076,0.0032,0.1124,0.2393,0.0284,0.4579,0
0.0347,0.1943,0.045,0.2916,0.0225,0.7116,0
0.0278,0.0366,0.015,0,0,0,0
0.0449,0.2954,0.006,0.2175,0,0.7863,0
0.0425,0.1648,0.033,0,0,0,0
0.02,0.0167,0.042,0.1066,0.0356,0.7895,0
0.0275,0.0573,0.0525,0.1651,0.016,0.7274,0
0.0293,0.0279,0.0255,0.186,0.0342,0.7821,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0267,0.0032,0.021,0.1514,0.0383,0.6589,0
0.0445,0.1306,0.021,0.236,0,0.8179,0
0.0395,0.0756,0.0075,0,0,0,0
0.0244,0.0064,0.0135,0.178,0,0.7526,0
0.0252,0.0135,0.024,0.1954,0,0.7905,0
0.0174,0.0151,0.0105,0,0,0,0
0.0298,0.078,0.015,0.2297,0,0.7432,0
0.0274,0.0048,0.021,0.1296,0.065,0.6905,0
0.0294,0.043,0.0075,0.2477,0.1179,0.8095,0
0.0514,0.2914,0.003,0,0,0,0
0.027,0.0064,0.003,0.15,0,0.7421,0
0.0424,0.1831,0.0135,0.1986,0,0.6811,0
0.0566,0.6043,0.027,0.1503,0,0.6305,0
0.0353,0.0629,0.0195,0.2504,0.068,0.7053,0
0.0248,0.2022,0.0345,0,0,0,0
0,0,0,0,0,0,0
0.02,0.0239,0.0045,0,0,0,0
0.0584,0.4992,0.0195,0.216,0,0.5768,0
0.0157,0.0295,0.018,0.0839,0.051,0.8337,0
0.0198,0.0717,0.078,0.1357,0.0222,0.7768,0
0.0148,0.0295,0.0375,0.1483,0.0537,0.7179,0
0,0,0,0,0,0,0
0.0385,0.172,0.006,0.5171,0.0817,0.7232,0
0.0227,0.0486,0.012,0.1941,0.1381,0.7337,0
0,0,0,0,0,0,0
0.023,0.0167,0.0165,0.1646,0.0487,0.6547,0
0.0653,0.4323,0.0285,0.1887,0.0209,0.5937,0
0.0214,0.0199,0.033,0.1321,0,0.4895,0
0.017,0.0183,0.018,0.075,0.0762,0.7463,0
0.0272,0.051,0.012,0.1195,0.0693,0.6905,0
0.0348,0.0111,0.0165,0.1711,0,0.5958,0
0,0,0,0,0,0,0
0.0296,0.0932,0.0135,0.202,0,0.6095,0
0,0,0,0,0,0,0
0.0116,0.0111,0.027,0.0873,0.0414,0.5284,0
0.035,0.1584,0.0225,0,0,0,0
0.0263,0.0629,0.033,0.1756,0.0354,0.7737,0
0,0.0032,0,0,0,0,0
0,0,0,0,0,0,0
0.0367,0.0971,0.0405,0,0,0,0
0.0625,0.2588,0.0135,0,0,0,0
0,0,0,0,0,0,0
0.021,0.0486,0.024,0.1088,0.0806,0.5505,0
0,0,0,0,0,0,0
0.0343,0.1505,0.0075,0.2049,0,0.5789,0
0.0692,0.3384,0.018,0.2226,0,0.56,0
0.0975,0.3726,0.006,0.212,0.0667,0.5295,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0332,0.0032,0.0045,0,0,0,0
0.0379,0.1656,0.0045,0,0,0,0
0.0525,0.7691,0.012,0.1628,0,0.3832,0
0.0194,0.0366,0.087,0.1263,0,0.5768,0
0.0274,0.0311,0.0285,0.1248,0,0.66,0
0.0495,0.0032,0.009,0,0,0,0
0.031,0.1791,0.015,0,0,0,0
0,0,0,0,0,0,0
0.0382,0.1855,0.0075,0.1229,0.0482,0.4726,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0417,0.035,0.012,0.1509,0.0579,0.7095,0
0.0396,0.0263,0.009,0.1606,0.0855,0.8011,0
0.016,0.0032,0.018,0.1435,0,0.5716,0
0,0,0,0,0,0,0
0.0356,0.0318,0.0195,0.1643,0,0.7811,0
0.0267,0.1592,0.063,0,0,0,0
0,0,0,0,0,0,0
0.0115,0.008,0.0495,0.0645,0.0309,0.6326,0
0.0312,0.0271,0.0105,0.1442,0.0976,0.7453,0
0,0,0,0,0,0,0
0.0403,0.3344,0.009,0,0,0,0
0.03,0.0947,0.048,0.2519,0,0.6842,0
0.0619,0.4172,0.0255,0,0,0,0
0.0384,0.2126,0.0225,0.1215,0,0.6389,0
0.0127,0.0048,0.03,0.16,0.0429,0.6337,0
0.0182,0.0295,0.0885,0,0,0,0
0.0441,0.5533,0.0105,0.1256,0,0.4189,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0186,0.0088,0.009,0.1612,0,0.4937,0
0,0,0,0,0,0,0
0.0234,0.0239,0.0105,0.1461,0,0.5968,0
0,0,0,0,0,0,0
0.0192,0.0709,0.0825,0,0,0,0
0.0456,0.539,0.0135,0,0,0,0
0,0,0,0,0,0,0
0.02,0.0406,0.0825,0.0573,0,0.6495,0
0.0262,0.047,0.03,0.1438,0.0303,0.8084,0
0.0149,0.004,0.006,0,0,0,0
0.0221,0.0263,0.0345,0.1535,0,0.8116,0
0,0,0,0,0,0,0
0.0326,0.1553,0.0225,0.2211,0,0.7621,0
0.0154,0.004,0.012,0.2548,0,0.4779,0
0.0234,0.0295,0.0075,0,0,0,0
0,0,0,0,0,0,0
0.0199,0.0096,0.0165,0,0,0,0
0.0287,0.0844,0.0285,0.2428,0.0331,0.6074,0
0.0213,0.0175,0.024,0,0,0,0
0.0239,0.0104,0.0165,0.1851,0.0702,0.6779,0
0.0399,0.2325,0.006,0.1859,0,0.6137,0
0.0352,0.2269,0.0285,0,0,0,0
0.0246,0.0406,0.0195,0.2064,0,0.8284,0
0.0341,0.0271,0.0045,0,0,0,0
0.0253,0.0303,0.0195,0,0,0,0
0,0,0,0,0,0,0
0.0248,0.0406,0.0195,0,0,0,0
0.031,0.125,0.024,0.1328,0.0667,0.7895,0
0.0352,0.0613,0.0195,0,0,0,0
0.0177,0.0199,0.045,0.2202,0.0608,0.5779,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0184,0.0064,0.0195,0.1756,0,0.9053,0
0,0,0,0,0,0,0
0.1057,0.9952,0.006,0.2529,0,0.4137,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0278,0.008,0.021,0.1548,0,0.7558,0
0.0121,0.0072,0,0.0988,0,0.42,0
0.0294,0.0438,0.015,0,0,0,0
0.0213,0.1457,0.0705,0,0,0,0
0.0518,0.2803,0.0225,0.1572,0.0587,0.6716,0
0.0345,0.1234,0.0465,0,0,0,0
0.0246,0.0669,0.0615,0,0,0,0
0.0174,0.0119,0.012,0,0,0,0
0.0395,0.0629,0.0045,0.1864,0.0979,0.6832,0
0.0318,0.0772,0.0165,0.1615,0,0.5526,0
0.0335,0.0525,0.027,0,0,0,0
0.0351,0.2452,0.009,0.1248,0,0.4179,0
0.0326,0.1059,0.0225,0,0,0,0
0.0325,0.0191,0.0165,0.1724,0,0.7495,0
0.0304,0.0613,0.018,0,0,0,0
0.0699,0.4825,0.012,0.2638,0,0.5674,0
0.0294,0.0072,0.012,0,0,0,0
0.019,0.008,0.0135,0.1159,0.0626,0.6989,0
0.02,0.0151,0.0135,0.1964,0,0.8674,0
0.0346,0.0032,0.0195,0,0,0,0
0.0603,0.828,0.0045,0.1946,0,0.6463,0
0.0188,0.0398,0.0975,0.1006,0,0.6579,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.034,0.0382,0.0105,0.177,0.1085,0.7516,0
0,0,0,0,0,0,0
0.0349,0.0406,0.006,0.2044,0.1007,0.7916,0
0,0,0,0,0,0,0
0.018,0.0342,0.039,0.1043,0.0313,0.6453,0
0.0158,0.0183,0.06,0.1367,0.0198,0.6863,0
0.0163,0.0048,0.024,0,0,0,0
0.0282,0.1457,0.03,0.1262,0.0582,0.6084,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0274,0.0263,0.0225,0,0,0,0
0.0298,0.0104,0.018,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.032,0.0374,0.0075,0.1894,0.0786,0.8716,0
0.0377,0.0223,0.018,0,0,0,0
0.0261,0.1783,0.0465,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0281,0.0366,0.006,0,0,0,1
0.0741,0.035,0.003,0.2764,0.2885,0.8011,1
0.0682,0.0971,0.0015,0.2725,0.4716,0.7379,1
0.0373,0.0518,0.009,0.147,0.0898,0.7168,1
0.2162,0.3694,0,1,1,0.8,1
0.1293,0.2683,0.0015,0,0,0,1
0.0802,0.2723,0.0015,0.3695,0.5888,0.5653,1
0.0677,0.0613,0.0225,0,0,0,1
0.0862,0.0939,0.006,0.2806,0,0.6884,1
0.0366,0.051,0.0075,0.1853,0.0751,0.8074,1
0.0256,0.0064,0.0075,0.256,0.1713,0.7484,1
0.064,0.0454,0.006,0.2252,0.1223,0.6179,1
0.0399,0.0135,0.0195,0.1988,0.0608,0.88,1
0.0354,0.0382,0.006,0.1713,0.1499,0.8358,1
0.0513,0.0541,0.003,0.2789,0.2885,0.8126,1
0.0394,0.0334,0.0165,0.3577,0.0585,0.76,1
0.0339,0.0271,0.003,0.2383,0.273,0.8611,1
0.0409,0.0613,0.0045,0.2216,0.151,0.7663,1
0.0292,0.0334,0.0075,0.2279,0,0.7853,1
0.0214,0.0127,0.0195,0.1878,0.0521,0.7442,1
0.0173,0.008,0.0105,0.2309,0.185,0.7084,1
0.0495,0.0223,0.0165,0.4654,0.0847,0.6505,1
0.0492,0.0239,0.018,0.2851,0.0424,0.8726,1
0,0,0,0,0,0,1
0.0345,0.0223,0.024,0.1988,0.0608,0.8242,1
0.1533,0.203,0.0075,0.5552,0.0776,0.8074,1
0.0223,0.043,0.0495,0.0877,0,0.6979,0
0,0,0,0,0,0,0
0.0473,0.4745,0.0165,0.2181,0.0303,0.6474,0
0.0285,0.0334,0.0105,0,0,0,0
0.0712,0.4379,0.0405,0,0,0,0
0.0315,0.164,0.012,0,0,0,0
0.0173,0.0191,0.033,0.1649,0.0532,0.6295,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0341,0.1903,0.039,0.1387,0,0.6137,0
0.0586,0.4785,0.0105,0.2349,0,0.6474,0
0.0363,0.1513,0.0225,0.1281,0,0.7137,0
0.0294,0.0541,0.0135,0.1819,0.0788,0.6863,0
0,0,0,0,0,0,0
0.0246,0.0127,0.0195,0.1071,0.0686,0.6958,0
0.03,0.0486,0.0075,0.1221,0.0824,0.6884,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0202,0.0056,0.012,0.2438,0.105,0.5789,0
0,0,0,0,0,0,0
0.052,0.0048,0.006,0,0,0,0
0,0,0,0,0,0,0
0.0334,0.0844,0.0135,0,0,0,0
0.0249,0.0581,0.039,0.1611,0.0235,0.7432,0
0,0,0,0,0,0,0
