Dim_1,Dim_2,Dim_3,outlier
0,0.004853,0.006793,0
0.001096,0.004701,0.006866,0
0,0.002556,0.006111,0
0,0.005084,0.006148,0
0.001096,0.006312,0.00613,0
0,0.004299,0.006148,0
0.001096,0.003106,0.006148,0
0,0.062745,0.025679,0
0,0.003637,0.006296,0
0,0.006683,0.006204,0
0,0.005694,0.006056,0
0.001096,0.006344,0.006111,0
0.001096,0.007301,0.007547,0
0.001096,0.005471,0.006774,0
0,0.003872,0.006167,0
0.001096,0.005906,0.006719,0
0,0.006891,0.006185,0
0,0.003693,0.00613,0
0,0.00526,0.006185,0
0.001096,0.006328,0.006185,0
0,0.006356,0.006185,0
0,0.006504,0.006958,0
0,0.006416,0.006848,0
0.001096,0.008003,0.006167,0
0.001096,0.006109,0.006148,0
0,0.002365,0.006111,0
0,0.005942,0.006222,0
0,0.003589,0.006148,0
0,0.003708,0.006148,0
0,0.007249,0.006093,0
0.001096,0.004574,0.00613,0
0,0.005304,0.007695,0
0,0.003693,0.006995,0
0,0.003565,0.006829,0
0,0.004749,0.006885,0
0,0.0027,0.006866,0
0.001096,0.003872,0.007271,0
0,0.005244,0.007842,0
0.001096,0.006073,0.007695,0
0.001096,0.07848,0.006903,0
0,0.004422,0.006848,0
0,0.003242,0.006848,0
0.001096,0.00435,0.006958,0
0.001096,0.003581,0.007234,0
0.001096,0.003497,0.007198,0
0,0.003832,0.006866,0
0,0.008868,0.006866,0
0.002193,0.062665,0.032987,0
0.001096,0.003784,0.007934,0
0.001096,0.00595,0.007216,0
0.001096,0.007708,0.013585,0
0,0.005854,0.00775,0
0,0.011169,0.006977,0
0.001096,0.009255,0.006958,0
0.001096,0.003736,0.006958,0
0,0.004753,0.006885,0
0,0.003613,0.006829,0
0,0.004833,0.006866,0
0,0.005627,0.006977,0
0,0.007186,0.008725,0
0.001096,0.005256,0.006903,0
0,0.003358,0.006829,0
0,0.004279,0.006793,0
0.001096,0.005603,0.007253,0
0.001096,0.004769,0.006885,0
0,0.005479,0.008633,0
0,0.014965,0.006848,0
0.001096,0.024257,0.006866,0
0.001096,0.00451,0.006977,0
0,0.006552,0.00867,0
0,0.004374,0.006866,0
0,0.009375,0.006774,0
0.001096,0.004458,0.006866,0
0,0.00449,0.006829,0
0,0.002743,0.006038,0
0,0.005164,0.005983,0
0,0.00636,0.006056,0
0,0.003673,0.006167,0
0,0.002305,0.006038,0
0.001096,0.004681,0.006664,0
0,0.003868,0.006038,0
0.001096,0.005244,0.006756,0
0,0.006312,0.006019,0
0,0.004295,0.006019,0
0.001096,0.062613,0.024961,0
0,0.003633,0.006167,0
0,0.006651,0.005909,0
0,0.00315,0.006111,0
0.001096,0.005854,0.006664,0
0,0.003509,0.006019,0
0,0.006831,0.006038,0
0,0.006994,0.006056,0
0,0.006121,0.005983,0
0,0.011448,0.006019,0
0,0.00575,0.005909,0
0,0.007034,0.006719,0
0,0.005144,0.006001,0
0,0.006316,0.006019,0
0,0.005638,0.006737,0
0,0.016074,0.005927,0
0,0.004031,0.006553,0
0,0.007999,0.006038,0
0,0.006109,0.006038,0
0,0.004574,0.006019,0
0,0.010436,0.006627,0
0.001096,0.004685,0.006645,0
0,0.002831,0.006075,0
0,0.008023,0.005983,0
0.001096,0.005096,0.006056,0
0.001096,0.006946,0.00659,0
0.001096,0.003262,0.005946,0
0,0.008868,0.005983,0
0.002193,0.062629,0.024998,0
0.001096,0.006671,0.006001,0
0.001096,0.005706,0.005964,0
0,0.003174,0.005964,0
0.001096,0.004817,0.005891,0
0,0.010436,0.006019,0
0.001096,0.006348,0.005983,0
0.001096,0.009247,0.006038,0
0,0.003728,0.006038,0
0.001096,0.005471,0.006627,0
0.001096,0.006137,0.006019,0
0,0.002859,0.005983,0
0.001096,0.00591,0.00659,0
0,0.006113,0.006001,0
0,0.005407,0.006701,0
0,0.003461,0.005964,0
0,0.002074,0.005964,0
0.001096,0.004805,0.005964,0
0.001096,0.003904,0.005946,0
0.001096,0.006416,0.006701,0
0,0.008266,0.006001,0
0,0.002696,0.005909,0
0,0.036487,0.006056,0
0,0.002759,0.005983,0
0,0.003948,0.005964,0
0.001096,0.006245,0.006608,0
0.001096,0.015875,0.00659,0
0,0.004219,0.005946,0
0.001096,0.004709,0.00659,0
0.001096,0.006364,0.006093,0
0,0.003772,0.006093,0
0.001096,0.004546,0.006075,0
0,0.003142,0.00613,0
0,0.005088,0.006075,0
0,0.003772,0.006111,0
0,0.006791,0.005946,0
0,0.003262,0.006001,0
0,0.0027,0.006001,0
0,0.009542,0.006075,0
0,0.002397,0.006056,0
0,0.062709,0.025422,0
0,0.002261,0.006038,0
0,0.006823,0.006737,0
0,0.005698,0.005983,0
0.001096,0.006827,0.006038,0
0,0.005331,0.006056,0
0.001096,0.005902,0.006608,0
0,0.005443,0.006019,0
0,0.006875,0.006019,0
0,0.004925,0.006075,0
0,0.003537,0.006001,0
0,0.00311,0.006001,0
0,0.003513,0.006001,0
0,0.0025,0.006001,0
0,0.007943,0.006056,0
0,0.005483,0.006056,0
0,0.006261,0.006056,0
0,0.006113,0.006075,0
0,0.015719,0.005946,0
0,0.004227,0.006038,0
0,0.003641,0.006056,0
0,0.004578,0.006056,0
0.001096,0.005164,0.006075,0
0.001096,0.00636,0.006148,0
0.001096,0.004833,0.007437,0
0,0.006145,0.00613,0
0.001096,0.004027,0.006848,0
0.001096,0.005088,0.006148,0
0.001096,0.004438,0.006756,0
0.001096,0.003254,0.006038,0
0.002193,0.062641,0.025182,0
0.001096,0.005698,0.006056,0
0,0.003708,0.006148,0
0,0.002157,0.006093,0
0.001096,0.006994,0.006148,0
0.001096,0.005335,0.006148,0
0.001096,0.007022,0.006756,0
0.001096,0.004925,0.006148,0
0,0.003405,0.006093,0
0,0.025549,0.006056,0
0,0.003106,0.006093,0
0.001096,0.006101,0.006093,0
0,0.012693,0.006056,0
0,0.012457,0.006148,0
0,0.006388,0.006111,0
0.001096,0.004566,0.006075,0
0.001096,0.006368,0.006093,0
0.001096,0.004701,0.006001,0
0,0.004709,0.006793,0
0,0.005096,0.006093,0
0,0.003381,0.006019,0
0,0.006907,0.006038,0
0,0.004067,0.006001,0
0,0.00311,0.006056,0
0,0.062897,0.026268,0
0,0.014319,0.006093,0
0.001096,0.00699,0.007474,0
0,0.005706,0.006001,0
0.001096,0.006189,0.006111,0
0,0.009419,0.006848,0
0.001096,0.007162,0.006811,0
0,0.002975,0.006019,0
0,0.005766,0.005983,0
0.001096,0.006887,0.006056,0
0,0.005906,0.006075,0
0,0.004669,0.006019,0
0,0.002261,0.006001,0
0,0.011883,0.006056,0
0.001096,0.006332,0.006093,0
0,0.00256,0.006019,0
0,0.004239,0.006019,0
0.001096,0.004805,0.006001,0
0,0.003106,0.006001,0
0,0.00244,0.006038,0
0,0.003062,0.006075,0
0.001096,0.006117,0.006075,0
0,0.004494,0.006001,0
0.001096,0.004582,0.006056,0
0,0.004358,0.009057,0
0,0.007222,0.009038,0
0,0.002775,0.009057,0
0,0.002225,0.00913,0
0.001096,0.004654,0.009094,0
0,0.00252,0.009094,0
0.001096,0.002875,0.010051,0
0,0.005276,0.010898,0
0,0.006799,0.009094,0
0,0.003401,0.009167,0
0,0.004203,0.009222,0
0,0.004362,0.009149,0
0,0.00463,0.009167,0
0,0.002157,0.009204,0
0,0.078396,0.009186,0
0.001096,0.003653,0.008983,0
0.001096,0.003146,0.009038,0
0.001096,0.062382,0.034037,0
0,0.014252,0.009094,0
0,0.007872,0.009094,0
0,0.007872,0.009094,0
0,0.007872,0.009094,0
0,0.007872,0.009094,0
0,0.007872,0.009094,0
0,0.007872,0.009094,0
0,0.007872,0.009094,0
0,0.007872,0.009094,0
0,0.007872,0.009094,0
0,0.007872,0.009094,0
0,0.007872,0.009094,0
0,0.007872,0.009094,0
0.001096,0.00658,0.009149,0
0,0.00589,0.01075,0
0,0.002377,0.00913,0
0,0.004071,0.00913,0
0,0.002863,0.009075,0
0,0.002468,0.009167,0
0,0.009307,0.010106,0
0,0.002887,0.009094,0
0,0.008075,0.009038,0
0.001096,0.004669,0.00913,0
0,0.007425,0.009112,0
0,0.00709,0.010934,0
0,0.009526,0.00902,0
0,0.003206,0.009075,0
0,0.038293,0.009057,0
0,0.002444,0.010014,0
0,0.004833,0.009112,0
0,0.002464,0.00902,0
0,0.006089,0.009038,0
0,0.015145,0.010732,0
0,0.007018,0.009167,0
0,0.003254,0.009057,0
0.001096,0.004594,0.009241,0
0,0.011751,0.009167,0
0,0.038441,0.009002,0
0,0.006073,0.009149,0
0.001096,0.005527,0.00994,0
0,0.020676,0.009112,0
0,0.004961,0.00913,0
0,0.004223,0.00913,0
0,0.003501,0.00902,0
0,0.006328,0.010088,0
0,0.007907,0.009094,0
0,0.00628,0.009167,0
0,0.007178,0.016199,0
0,0.003186,0.009075,0
0,0.004905,0.009075,0
0.001096,0.004131,0.00902,0
0,0.016222,0.009094,0
0,0.008924,0.009112,0
0,0.003278,0.008928,0
0,0.002747,0.009038,0
0.001096,0.05485,0.009038,0
0,0.005642,0.016199,0
0,0.004817,0.006075,0
0,0.004825,0.005117,0
0,0.004004,0.005173,0
0,0.006691,0.006111,0
0,0.003904,0.006075,0
0,0.004127,0.006608,0
0,0.006121,0.005983,0
0.001096,0.003234,0.006038,0
0,0.006807,0.006019,0
0,0.007545,0.006038,0
0,0.006484,0.006038,0
0,0.004841,0.006038,0
0,0.002875,0.006038,0
0,0.003792,0.005117,0
0.001096,0.007429,0.006682,0
0,0.00975,0.006056,0
0,0.004382,0.006075,0
0,0.002524,0.00613,0
0,0.004865,0.006111,0
0,0.002676,0.006056,0
0,0.005092,0.006056,0
0,0.004171,0.006111,0
0,0.03088,0.006111,0
0,0.004662,0.006111,0
0,0.007453,0.006001,0
0,0.003106,0.006075,0
0,0.004331,0.006075,0
0,0.004394,0.006148,0
0,0.004921,0.006056,0
0,0.009423,0.005983,0
0,0.003932,0.006056,0
0,0.006073,0.00613,0
0,0.005128,0.006093,0
0,0.002787,0.006093,0
0,0.003222,0.006001,0
0,0.007022,0.006056,0
0,0.003824,0.005117,0
0,0.002576,0.005983,0
0,0.002803,0.006038,0
0,0.003956,0.006093,0
0,0.005272,0.006038,0
0.001096,0.005965,0.005117,0
0.001096,0.021689,0.006019,0
0,0.002105,0.005136,0
0,0.002855,0.006019,0
0,0.002743,0.005099,0
0,0.016537,0.006056,0
0.001096,0.006177,0.005983,0
0.001096,0.005738,0.006056,0
0.001096,0.002644,0.005983,0
0,0.00831,0.006038,0
0,0.002779,0.006056,0
0,0.01087,0.006038,0
0,0.002648,0.006056,0
0,0.003326,0.00613,0
0,0.008721,0.006167,0
0,0.003246,0.00613,0
0,0.010567,0.006148,0
0,0.005367,0.006093,0
0,0.003553,0.006075,0
0,0.005774,0.006222,0
0.001096,0.006879,0.006148,0
0,0.007293,0.006111,0
0,0.003948,0.006167,0
0,0.003214,0.00613,0
0,0.002907,0.006111,0
0,0.010244,0.006111,0
0,0.006815,0.006056,0
0,0.003039,0.006185,0
0,0.003577,0.006111,0
0,0.003832,0.00613,0
0,0.00319,0.006075,0
0,0.008051,0.005246,0
0,0.003266,0.006148,0
0,0.002803,0.00613,0
0,0.005084,0.005228,0
0,0.006273,0.006148,0
0,0.00465,0.006093,0
0,0.005842,0.006185,0
0,0.003892,0.006111,0
0.003289,0.004139,0.00613,0
0,0.005311,0.006204,0
0,0.00256,0.005209,0
0,0.005993,0.005209,0
0,0.003298,0.006148,0
0,0.002775,0.006075,0
0,0.008581,0.006148,0
0,0.004151,0.006148,0
0,0.004083,0.00613,0
0,0.004701,0.006148,0
0,0.006081,0.006148,0
0.001096,0.005375,0.005228,0
0,0.002472,0.005983,0
0,0.005973,0.005191,0
0,0.021848,0.006774,0
0,0.006033,0.006811,0
0,0.003908,0.006093,0
0,0.008968,0.006148,0
0,0.002779,0.006111,0
0,0.006185,0.006056,0
0,0.005742,0.006111,0
0,0.003198,0.006111,0
0,0.008458,0.006111,0
0,0.00264,0.006001,0
0,0.002735,0.00613,0
0,0.00372,0.006111,0
0,0.006077,0.006148,0
0,0.003904,0.006075,0
0,0.006879,0.005191,0
0,0.00652,0.006093,0
0,0.005064,0.006038,0
0,0.005319,0.00613,0
0,0.00449,0.006056,0
0,0.006815,0.006001,0
0,0.002592,0.006056,0
0.001096,0.004917,0.005191,0
0,0.006221,0.005136,0
0.001096,0.00384,0.006075,0
0,0.003848,0.006093,0
0,0.002819,0.006056,0
0.001096,0.014308,0.006093,0
0,0.00955,0.006093,0
0,0.004845,0.005173,0
0,0.004518,0.006038,0
0,0.00313,0.006001,0
0.001096,0.00707,0.006093,0
0,0.002564,0.006056,0
0,0.003585,0.006056,0
0,0.004299,0.006056,0
0,0.003493,0.005117,0
0,0.005128,0.006093,0
0.001096,0.003844,0.006093,0
0,0.005367,0.005154,0
0,0.002488,0.006038,0
0,0.005627,0.006038,0
0.001096,0.002807,0.006056,0
0,0.006073,0.00613,0
0,0.003397,0.006056,0
0,0.007142,0.006001,0
0,0.004291,0.006093,0
0,0.010292,0.005136,0
0,0.007564,0.005154,0
0,0.005212,0.006093,0
0,0.021262,0.006056,0
0,0.007963,0.006093,0
0.001096,0.004622,0.006038,0
0,0.004721,0.005191,0
0,0.005359,0.005117,0
0,0.007624,0.006075,0
0,0.003194,0.006056,0
0.001096,0.00264,0.005964,0
0,0.003194,0.006019,0
0,0.004207,0.006038,0
0,0.005587,0.005743,0
0.001096,0.002728,0.006056,0
0.001096,0.002684,0.006093,0
0,0.002416,0.006167,0
0,0.003968,0.006204,0
0,0.003062,0.006204,0
0,0.007425,0.00624,0
0,0.00392,0.006204,0
0,0.004295,0.005246,0
0.001096,0.007716,0.006866,0
0,0.006883,0.006185,0
0,0.003581,0.006185,0
0.001096,0.002891,0.006167,0
0,0.004929,0.005302,0
0,0.003457,0.006204,0
0,0.004769,0.006167,0
0,0.004482,0.00613,0
0,0.002943,0.006148,0
0,0.003346,0.006148,0
0,0.00528,0.006075,0
0,0.014304,0.00613,0
0,0.003051,0.005265,0
0,0.002771,0.006185,0
0,0.005802,0.005265,0
0.001096,0.003585,0.006167,0
0,0.004933,0.00624,0
0,0.003134,0.006204,0
0,0.009463,0.006185,0
0,0.003015,0.006148,0
0,0.005742,0.006204,0
0,0.003485,0.006204,0
0,0.005132,0.00613,0
0,0.007082,0.006204,0
0,0.003282,0.006148,0
0,0.002951,0.006111,0
0,0.010388,0.00613,0
0,0.004992,0.006222,0
0,0.004805,0.006185,0
0,0.008625,0.006167,0
0,0.005228,0.006148,0
0,0.002349,0.006148,0
0,0.004654,0.006185,0
0,0.002847,0.006093,0
0,0.002851,0.006185,0
0,0.002596,0.006185,0
0.001096,0.003888,0.006111,0
0,0.007261,0.006167,0
0,0.00386,0.006185,0
0,0.005694,0.006222,0
0,0.009475,0.006185,0
0,0.008701,0.006903,0
0.001096,0.005132,0.006167,0
0,0.010515,0.006185,0
0,0.00526,0.005265,0
0,0.005319,0.006167,0
0,0.002867,0.006185,0
0.001096,0.00402,0.00694,0
0,0.012509,0.006259,0
0,0.004346,0.006204,0
0.001096,0.002967,0.006829,0
0,0.006037,0.006222,0
0,0.004486,0.00613,0
0,0.022008,0.00751,0
0,0.005894,0.006204,0
0,0.008374,0.006259,0
0.001096,0.004626,0.006111,0
0.001096,0.004554,0.006259,0
0,0.004729,0.005283,0
0,0.005375,0.005246,0
0,0.003788,0.006204,0
0,0.004171,0.00624,0
0,0.002843,0.005265,0
0,0.003661,0.006185,0
0.003289,0.004458,0.006204,0
0.001096,0.002735,0.006148,0
0,0.003505,0.006167,0
0.001096,0.002855,0.006921,0
0,0.002369,0.006222,0
0.001096,0.004825,0.00613,0
0,0.003904,0.006719,0
0,0.00268,0.006148,0
0,0.003844,0.006111,0
0,0.003625,0.006056,0
0,0.005248,0.006111,0
0,0.003254,0.006093,0
0,0.003537,0.006093,0
0,0.006827,0.006111,0
0,0.005212,0.006093,0
0,0.0025,0.006056,0
0.001096,0.007453,0.006019,0
0,0.008912,0.006019,0
0,0.003776,0.005983,0
0.001096,0.002803,0.006111,0
0,0.007074,0.00613,0
0.001096,0.003876,0.006019,0
0,0.002385,0.006148,0
0,0.003936,0.006093,0
0.001096,0.00512,0.006075,0
0,0.004,0.00613,0
0,0.005702,0.005228,0
0,0.003988,0.006756,0
0,0.003027,0.006093,0
0,0.004522,0.006056,0
0,0.002811,0.006093,0
0,0.004542,0.006167,0
0.001096,0.005738,0.006075,0
0,0.004127,0.006056,0
0,0.002377,0.006148,0
0,0.005603,0.006075,0
0,0.002692,0.006148,0
0,0.005507,0.006093,0
0,0.006695,0.006204,0
0.001096,0.004008,0.006148,0
0.001096,0.007281,0.006093,0
0.001096,0.014292,0.006093,0
0.001096,0.004382,0.006148,0
0,0.006117,0.005246,0
0,0.003114,0.006093,0
0,0.008218,0.00613,0
0,0.004853,0.006019,0
0,0.00644,0.006111,0
0,0.004745,0.005173,0
0,0.008043,0.005246,0
0,0.003258,0.006148,0
0,0.008864,0.006222,0
0,0.010256,0.006185,0
0,0.003736,0.00613,0
0,0.004155,0.006148,0
0.001096,0.007066,0.006148,0
0.001096,0.005822,0.00613,0
0,0.004295,0.006222,0
0,0.004071,0.006756,0
0,0.006938,0.006093,0
0,0.002456,0.006111,0
0.001096,0.008529,0.006148,0
0.001096,0.00512,0.00613,0
0,0.003613,0.006093,0
0,0.00528,0.006111,0
0.001096,0.005152,0.006111,0
0,0.003561,0.006185,0
0.001096,0.005623,0.006093,0
0,0.001834,0.005209,0
0.001096,0.002763,0.006148,0
0,0.002947,0.00613,0
0,0.003788,0.006056,0
0,0.007923,0.005173,0
0,0.004139,0.006093,0
0,0.004534,0.006185,0
0.001096,0.003194,0.00613,0
0,0.013458,0.006093,0
0,0.011708,0.006056,0
0,0.003078,0.006001,0
0,0.007983,0.006019,0
0,0.006057,0.006056,0
0,0.004761,0.006019,0
0,0.007417,0.006038,0
0,0.005128,0.006111,0
0,0.005292,0.006038,0
0,0.005363,0.006075,0
0,0.004111,0.006093,0
0,0.002895,0.006075,0
0,0.005347,0.006038,0
0,0.005092,0.006019,0
0,0.013949,0.006038,0
0,0.00327,0.006075,0
0,0.005443,0.006075,0
0,0.003202,0.006019,0
0,0.007696,0.005136,0
0,0.005646,0.006019,0
0,0.002791,0.005983,0
0,0.006803,0.006019,0
0,0.002708,0.006075,0
0,0.004354,0.006167,0
0.003289,0.035841,0.021464,0
0.001096,0.004785,0.006774,0
0,0.003138,0.006075,0
0,0.003354,0.006038,0
0.001096,0.008717,0.006093,0
0,0.010982,0.006075,0
0.001096,0.002716,0.006056,0
0,0.011161,0.006001,0
0,0.004131,0.006019,0
0,0.003597,0.006038,0
0,0.006013,0.006038,0
0,0.002939,0.006001,0
0,0.006966,0.006093,0
0,0.006432,0.006093,0
0,0.006484,0.006056,0
0,0.002157,0.006056,0
0,0.002237,0.006111,0
0,0.004913,0.006111,0
0.003289,0.008091,0.009038,0
0,0.005993,0.006075,0
0,0.004945,0.006719,0
0.001096,0.003194,0.006093,0
0,0.005375,0.006056,0
0,0.002795,0.006056,0
0,0.006241,0.006038,0
0.001096,0.012968,0.006001,0
0,0.002416,0.006075,0
0.002193,0.004546,0.006019,0
0,0.003756,0.006019,0
